Pipeline Type,Entity ID,Entity Name,Plant ID,Plant Name,Plant State,County,Balancing Authority Code,Sector,Generator ID,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Technology Group,Energy Source Code,Prime Mover Code,Expected Month,Expected Year,Status,Latitude,Longitude
Addition,66646,"ReWild Renewables, LLC",68218.0,Randall Lane Solar,MA,Plymouth,ISNE,IPP Non-CHP,RANPV,5.0,5.0,5.0,Solar Photovoltaic,Solar,SUN,PV,3.0,2027.0,(L) Regulatory approvals pending. Not under construction,41.663,-70.844
Addition,61514,"Agilitas Energy, Inc.",68219.0,Snipatuit Road Solar,MA,Plymouth,ISNE,IPP Non-CHP,SNIES,4.0,4.0,4.0,Batteries,Battery storage,MWH,BA,3.0,2027.0,(L) Regulatory approvals pending. Not under construction,41.768,-70.882
Addition,61514,"Agilitas Energy, Inc.",68219.0,Snipatuit Road Solar,MA,Plymouth,ISNE,IPP Non-CHP,SNIPV,4.0,4.0,4.0,Solar Photovoltaic,Solar,SUN,PV,3.0,2027.0,(L) Regulatory approvals pending. Not under construction,41.768,-70.882
Addition,66716,"ATLAS BESS IV, LLC",68321.0,Atlas BESS IV LLC,AZ,La Paz,CISO,IPP Non-CHP,ALT4,150.0,150.0,150.0,Batteries,Battery storage,MWH,BA,3.0,2027.0,"(V) Under construction, more than 50 percent complete",33.582903,-113.5769
Addition,66786,Gatsby Energy Storage LLC,68428.0,Gatsby Energy Storage Project,TX,Pecos,ERCO,IPP Non-CHP,GTSBY,103.4,103.4,103.4,Batteries,Battery storage,MWH,BA,3.0,2027.0,"(U) Under construction, less than or equal to 50 percent complete",30.664176,-101.7801
Addition,65869,Prologis Logistics Services Incorporated,68792.0,Fordyce - SLLAX680,CA,Los Angeles,CISO,IPP Non-CHP,LA680,1.3,1.3,1.3,Solar Photovoltaic,Solar,SUN,PV,3.0,2027.0,"(U) Under construction, less than or equal to 50 percent complete",33.8439,-118.2242
Addition,67105,CP Tully Five LLC,68860.0,Tully 5,NY,Onondaga,NYIS,IPP Non-CHP,PV1,2.0,2.0,2.0,Solar Photovoltaic,Solar,SUN,PV,3.0,2027.0,"(P) Planned for installation, but regulatory approvals not initiated",42.810918,-76.12014
Addition,67140,Eagle Creek Solar Park LLC,68898.0,Eagle Creek Solar Park LLC,MI,Saginaw,MISO,IPP Non-CHP,ECS1,120.0,120.0,120.0,Solar Photovoltaic,Solar,SUN,PV,3.0,2027.0,(L) Regulatory approvals pending. Not under construction,43.308523,-84.21895
Addition,67218,"ATLAS SOLAR IV, LLC",69055.0,ATLAS SOLAR IV,AZ,La Paz,CISO,IPP Non-CHP,ALTS4,300.0,300.0,300.0,Solar Photovoltaic,Solar,SUN,PV,3.0,2027.0,"(V) Under construction, more than 50 percent complete",33.582903,-113.5769
Addition,67310,"Roscoe Boulevard Operating, LLC",69242.0,AB Van Nuys,CA,Los Angeles,LDWP,IPP Non-CHP,PV1,1.6,1.6,1.6,Solar Photovoltaic,Solar,SUN,PV,3.0,2027.0,"(P) Planned for installation, but regulatory approvals not initiated",34.220959,-118.4768
