Date,Series,Metric,Value,Unit,Series ID,sector_name,measure_text,Source
2023-10-01,Manufacturing — Unit labor costs,Year-over-year change,4.5,percent,PRS30006111,Manufacturing,Unit labor costs,BLS Labor Productivity and Costs
2024-01-01,Manufacturing — Unit labor costs,Year-over-year change,5.0,percent,PRS30006111,Manufacturing,Unit labor costs,BLS Labor Productivity and Costs
2024-04-01,Manufacturing — Unit labor costs,Year-over-year change,5.0,percent,PRS30006111,Manufacturing,Unit labor costs,BLS Labor Productivity and Costs
2024-07-01,Manufacturing — Unit labor costs,Year-over-year change,4.6,percent,PRS30006111,Manufacturing,Unit labor costs,BLS Labor Productivity and Costs
2024-10-01,Manufacturing — Unit labor costs,Year-over-year change,4.1,percent,PRS30006111,Manufacturing,Unit labor costs,BLS Labor Productivity and Costs
2025-01-01,Manufacturing — Unit labor costs,Year-over-year change,3.0,percent,PRS30006111,Manufacturing,Unit labor costs,BLS Labor Productivity and Costs
2025-04-01,Manufacturing — Unit labor costs,Year-over-year change,2.3,percent,PRS30006111,Manufacturing,Unit labor costs,BLS Labor Productivity and Costs
2025-07-01,Manufacturing — Unit labor costs,Year-over-year change,1.4,percent,PRS30006111,Manufacturing,Unit labor costs,BLS Labor Productivity and Costs
2025-10-01,Manufacturing — Unit labor costs,Year-over-year change,2.9,percent,PRS30006111,Manufacturing,Unit labor costs,BLS Labor Productivity and Costs
2026-01-01,Manufacturing — Unit labor costs,Year-over-year change,3.8,percent,PRS30006111,Manufacturing,Unit labor costs,BLS Labor Productivity and Costs
2026-04-01,Manufacturing — Unit labor costs,Year-over-year change,3.5,percent,PRS30006111,Manufacturing,Unit labor costs,BLS Labor Productivity and Costs
2020-01-01,Manufacturing — Unit labor costs,Index,111.286,index 2017=100,PRS30006113,Manufacturing,Unit labor costs,BLS Labor Productivity and Costs
2020-04-01,Manufacturing — Unit labor costs,Index,120.565,index 2017=100,PRS30006113,Manufacturing,Unit labor costs,BLS Labor Productivity and Costs
2020-07-01,Manufacturing — Unit labor costs,Index,111.918,index 2017=100,PRS30006113,Manufacturing,Unit labor costs,BLS Labor Productivity and Costs
2020-10-01,Manufacturing — Unit labor costs,Index,114.118,index 2017=100,PRS30006113,Manufacturing,Unit labor costs,BLS Labor Productivity and Costs
2021-01-01,Manufacturing — Unit labor costs,Index,114.407,index 2017=100,PRS30006113,Manufacturing,Unit labor costs,BLS Labor Productivity and Costs
2021-04-01,Manufacturing — Unit labor costs,Index,114.324,index 2017=100,PRS30006113,Manufacturing,Unit labor costs,BLS Labor Productivity and Costs
2021-07-01,Manufacturing — Unit labor costs,Index,114.372,index 2017=100,PRS30006113,Manufacturing,Unit labor costs,BLS Labor Productivity and Costs
2021-10-01,Manufacturing — Unit labor costs,Index,116.879,index 2017=100,PRS30006113,Manufacturing,Unit labor costs,BLS Labor Productivity and Costs
2022-01-01,Manufacturing — Unit labor costs,Index,118.357,index 2017=100,PRS30006113,Manufacturing,Unit labor costs,BLS Labor Productivity and Costs
2022-04-01,Manufacturing — Unit labor costs,Index,118.891,index 2017=100,PRS30006113,Manufacturing,Unit labor costs,BLS Labor Productivity and Costs
2022-07-01,Manufacturing — Unit labor costs,Index,122.149,index 2017=100,PRS30006113,Manufacturing,Unit labor costs,BLS Labor Productivity and Costs
2022-10-01,Manufacturing — Unit labor costs,Index,122.949,index 2017=100,PRS30006113,Manufacturing,Unit labor costs,BLS Labor Productivity and Costs
2023-01-01,Manufacturing — Unit labor costs,Index,123.648,index 2017=100,PRS30006113,Manufacturing,Unit labor costs,BLS Labor Productivity and Costs
2023-04-01,Manufacturing — Unit labor costs,Index,124.999,index 2017=100,PRS30006113,Manufacturing,Unit labor costs,BLS Labor Productivity and Costs
2023-07-01,Manufacturing — Unit labor costs,Index,127.137,index 2017=100,PRS30006113,Manufacturing,Unit labor costs,BLS Labor Productivity and Costs
2023-10-01,Manufacturing — Unit labor costs,Index,128.493,index 2017=100,PRS30006113,Manufacturing,Unit labor costs,BLS Labor Productivity and Costs
2024-01-01,Manufacturing — Unit labor costs,Index,129.884,index 2017=100,PRS30006113,Manufacturing,Unit labor costs,BLS Labor Productivity and Costs
2024-04-01,Manufacturing — Unit labor costs,Index,131.205,index 2017=100,PRS30006113,Manufacturing,Unit labor costs,BLS Labor Productivity and Costs
2024-07-01,Manufacturing — Unit labor costs,Index,132.976,index 2017=100,PRS30006113,Manufacturing,Unit labor costs,BLS Labor Productivity and Costs
2024-10-01,Manufacturing — Unit labor costs,Index,133.815,index 2017=100,PRS30006113,Manufacturing,Unit labor costs,BLS Labor Productivity and Costs
2025-01-01,Manufacturing — Unit labor costs,Index,133.819,index 2017=100,PRS30006113,Manufacturing,Unit labor costs,BLS Labor Productivity and Costs
2025-04-01,Manufacturing — Unit labor costs,Index,134.18,index 2017=100,PRS30006113,Manufacturing,Unit labor costs,BLS Labor Productivity and Costs
2025-07-01,Manufacturing — Unit labor costs,Index,134.786,index 2017=100,PRS30006113,Manufacturing,Unit labor costs,BLS Labor Productivity and Costs
